ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1084913-999-0,1,1,2022,1,20,45,4,2,1,0,10,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,3,MARGARITA MAZA DE JUÁREZ,DOLORES CASTRO,,-102.2467679,21.84801042,1
1084913-999-1,1,1,2022,1,9,30,22,6,1,0,10,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,2,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,GERÓNIMO DE LA CUEVA,,-102.26633129999999,21.92734872,2
1084913-999-10,1,1,2022,1,5,56,1,6,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,41,0,0,0,0,0,0,0,0,0,0,0,0,3,GUADALUPANO,FRENTE A COLONIA LOMA DORADA,,-102.24331509999999,21.92005919,3
1084913-999-100,1,1,2022,1,15,0,29,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,34,0,0,0,0,0,0,0,0,0,0,0,0,3,LUIS DONALDO COLOSIO,INDEPENDENCIA,,-102.2980666,21.92514903,4
1084913-999-101,1,1,2022,1,19,35,29,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,21,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA VALLARTA,VALLARTA,,-102.23536419999999,21.87809446,5
1084913-999-102,1,1,2022,1,0,15,30,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,41,0,0,0,0,0,0,0,0,0,0,0,0,3,GUADALUPE NÁJERA JIMÉNEZ,EL MEZQUITAL,GUADALUPE NÁJERA JIMÉNEZ,-102.1911786,21.83911622,6
1084913-999-103,1,1,2022,1,4,50,30,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,25,0,0,0,0,0,0,0,0,0,0,0,0,3,FRANCISCO I. MADERO,GENERAL MIGUEL BARRAGÁN,,-102.2862179,21.88383773,7
1084913-999-104,1,1,2022,1,21,58,30,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,34,0,0,0,1,0,0,0,0,0,0,0,1,2,GENERAL IGNACIO ZARAGOZA,FÉLIX DE LA PAZ,,-102.29694549999999,21.89382075,8
1084913-999-105,1,1,2022,1,23,0,30,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ORBITA,ORBITA,,-102.2362032,21.88739744,9
1084913-999-106,1,1,2022,1,19,20,31,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,CULTURA OTOMÍ,LOMA DEL CARDENAL,,-102.2458961,21.91281975,10
